TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2026-07-23 23:46:30.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-02BF
2026-07-23 23:46:30.334,1.3474714,0.369584,0.6469476,0.0,0.8739049,0.56192845,0.489905,0.0,0.9349359,0.17052846,0.602045,0.0,0.5433531,0.26006436,0.5107469,0.0,0.2902904,-0.15655376,0.051881824,0.0,881.6117,817.1429,770.0,761.9414,809.0842,0.32806396484375,0.12176513671875,0.95037841796875,0.418701171875,-1.457977294921875,-0.500946044921875,324761.90476190473,8.105509157509157E7,2.560864468864469E7,83.784355,1,2.0,1.0,1.0,2.0,100.00
2026-07-23 23:46:31.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-07-23 23:46:31.340,1.3479143,0.369584,0.40205494,0.0,1.5042696,0.56192845,0.3813037,0.0,0.99384886,0.17052846,0.6680295,0.0,0.4625812,0.26006436,0.2995481,0.0,-0.003937476,-0.15655376,-0.12931176,0.0,1076.227,796.1905,757.9121,716.0073,707.5458,0.32000732421875,0.1240234375,0.9512939453125,-0.216827392578125,-1.667327880859375,-0.291595458984375,326373.62637362635,8.101076923076923E7,2.5557875457875457E7,83.371376,1,1.0,1.0,1.0,1.0,100.00
2026-07-23 23:46:31.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2026-07-23 23:46:31.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-07-23 23:46:32.341,1.4359636,0.9372719,0.35253692,0.0,1.4076071,0.7292277,0.51932347,0.0,0.76070696,0.48773256,0.45747393,0.0,0.38146523,0.501245,0.28067213,0.0,-0.030907389,0.02375844,-0.19252071,0.0,817.5458,803.8461,745.82416,752.674,761.9414,0.32220458984375,0.1192626953125,0.9547119140625,0.35888671875,-1.92901611328125,0.04486083984375,324761.90476190473,8.101641025641026E7,2.552241758241758E7,81.38313,1,1.0,1.0,1.0,1.0,100.00
2026-07-23 23:46:33.352,1.4359636,0.9372719,0.90281475,0.0,1.4076071,0.7292277,0.39563033,0.0,0.76070696,0.48773256,0.61416453,0.0,0.38146523,0.501245,0.28542307,0.0,-0.030907389,0.02375844,-0.19092914,0.0,814.7253,777.25275,770.80585,904.17584,827.619,0.31976318359375,0.11895751953125,0.95465087890625,0.471038818359375,-1.4056396484375,-0.411224365234375,323150.1831501831,8.110021978021978E7,2.550952380952381E7,79.86828,1,1.0,1.0,1.0,1.0,100.00
2026-07-23 23:46:34.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2026-07-23 23:46:34.362,0.96136856,0.46078902,0.938182,0.0,0.48918754,0.65717953,0.28354695,0.0,1.2087188,0.7927684,0.6100188,0.0,0.5406611,0.6572282,0.29177842,0.0,0.07324488,-0.0298285,-0.07510115,0.0,799.011,772.8205,759.12085,738.5714,916.6667,0.30902099609375,0.12274169921875,0.95574951171875,-0.25421142578125,-2.026214599609375,-0.3887939453125,323956.04395604396,8.11098901098901E7,2.5512747252747253E7,81.618805,1,1.0,1.0,1.0,1.0,100.00
2026-07-23 23:46:35.380,0.72373074,0.70952576,0.52140456,0.0,0.67283934,0.8400746,0.13250814,0.0,1.5208222,0.9575202,0.48383778,0.0,0.56293607,0.84643763,0.09334399,0.0,-0.028967341,0.07267703,-0.32188442,0.0,735.34796,776.4469,765.16486,840.9158,678.5348,0.30517578125,0.1337890625,0.96295166015625,0.216827392578125,-1.6748046875,-0.157012939453125,323150.1831501831,8.118161172161172E7,2.549098901098901E7,82.76609,1,1.0,1.0,1.0,1.0,100.00
